19.6569 0
19.6875 0.128749

19.6875 0.114551
19.7345 0.3125

19.73 0.3125
19.9589 0.625

19.956 0.625
20 0.669038

20 0.664951
20.3125 0.896138

20.3125 0.875121
20.4811 0.9375

20.4776 0.9375
20.625 0.992059

20.625 0.985012
20.9375 1.03865

20.9375 1.03311
21.25 1.04853

21.25 1.04471
21.5625 1.04063

21.5625 1.03798
21.875 1.02734

21.875 1.02596
22.1875 1.0168

22.1875 1.01738
22.5 1.01131

22.5 1.01139
22.8125 1.00711

22.8125 1.00712
23.125 1.00447

23.125 1.00476
23.4375 1.0031

23.4375 1.00307
23.75 1.0019

23.75 1.00191
24.375 1.00067

24.375 1.00086
25 1.0006

25 1.0009
26.25 1.0004

26.25 1.00054
27.5 1.00047

27.5 1.0013
30 0.998394

30 0.998057
32.5 0.999994

32.5 0.999212
35 1.00255

35 1.00248
37.5 0.999134

37.5 1.00052
40 0.997667

40 0.997762
42.5 1.0008

42.5 0.99952
45 1.00191

45 1.00133
47.5 0.999787

47.5 1.00044
50 0.999344

50 1.00047
52.5 0.999473

52.5 0.999814
55 0.998907

55 0.997986
57.5 1.00099

57.5 0.999829
60 1.0021

60 1.00254
62.5 0.998866

62.5 1.00037
65 0.997644

65 0.997411
67.5 1.00109

67.5 0.999531
70 1.0024

70 1.00263
72.5 0.99893

72.5 1.0005
75 0.997482

75 0.997195
77.5 1.00114

77.5 0.999289
80 1.0029

